chunk_id,document,class,page,chunk_text,chunk_length,chunk_method
0d9bb6bc-23ae-4d9d-945d-4ff3dd22d88b,Neural_Networks.pdf,CSCI_80,0,"Neural Networks  AI neural networks are inspired by neuroscience. In the brain, neurons are cells that are connected to each other, forming networks. Each neuron is capable of both receiving and sending electrical signals. Once the electrical input that a neuron receives crosses some threshold, the neuron activates, thus sending its electrical signal forward.  1. Artificial Neural Network/ ANN An Artificial Neural Network is a mathematical model for learning inspired by biological neural networks. Artificial neural networks model mathematical functions that map inputs to outputs based on the structure and parameters of the network. In artificial neural networks, the structure of the network is shaped through training on data. This allows for leaning the network’s parameters based on data.  When implemented in AI, the parallel of each neuron is a unit that’s connected to other units",894,recursive
d1610b05-135d-4a91-9a9c-21b177461091,Neural_Networks.pdf,CSCI_80,0,". This allows for leaning the network’s parameters based on data.  When implemented in AI, the parallel of each neuron is a unit that’s connected to other units. For example, like in the last lecture, the AI might map two inputs, x₁, and x₂, to whether it is going to rain today or not. Last lecture, we suggested the following form for this hypothesis function: h(x₁, x₂) = w₀ + w₁x₁ + w₂x₂, where w₁ and w₂ are weights that modify the inputs, and w₀ is a constant, also called bias, modifying the value of the whole expression.   2. Activation Functions To use the hypothesis function to decide whether it rains or not, we need to create some sort of threshold based on the value it produces. h(x₁, x₂) = g(w₀ + w₁x₁ + w₂x₂) g = activation function  i. Step Function One way to do this is with a step function, which gives 0 before a certain threshold is reached and 1 after the threshold is reached.",902,recursive
ac8df068-3a7c-4779-b346-21ca67371bd7,Neural_Networks.pdf,CSCI_80,0,"ii. Logistic Function Another way to go about this is with a logistic function, which gives as output any real number from 0 to 1, thus expressing graded confidence in its judgment.",181,recursive
2b1b102b-8ce1-41ee-9cfe-9415b2ba774b,Neural_Networks.pdf,CSCI_80,1,"iii. Rectified Linear Unit Another possible function is Rectified Linear Unit (ReLU), which allows the output to be any positive value. If the value is negative, ReLU sets it to 0.  
  Whichever function we choose to use, we learned last lecture that the inputs are modified by weights in addition to the bias, and the sum of those is passed to an activation function. This stays true for simple neural networks. Check the gaussian linear unit, sigmoid, tanh.  3. Neural Network Structure A neural network can be thought of as a representation of the idea above, where a function sums up inputs to produce an output.",616,recursive
a683382a-9986-430f-9b79-2fb23ccdf48a,Neural_Networks.pdf,CSCI_80,2,"The two white units on the left are the input and the unit on the right is an output. The inputs are connected to the output by a weighted edge. To make a decision, the output unit multiplies the inputs by their weights in addition to the bias (w₀), and the uses function g to determine the output.  i. Neural Network of Or Function  For example, an Or logical connective can be represented as a function f with the following truth table:  x y f(x, y) 0 0 0 0 1 1 1 0 1 1 1 1  We can visualize this function as a neural network. x₁ is one input unit, and x₂ is another input unit. They are connected to the output unit by an edge with a weight of 1. The output unit then uses function g(-1 + 1x₁ + 2x₂) with a threshold of 0 to output either 0 or 1 (false or true).",765,recursive
334e418c-70ac-4554-a25b-3a6bb1fb8833,Neural_Networks.pdf,CSCI_80,3,"For example, in the case where x₁ = x₂ = 0, the sum is (-1). This is below the threshold, so the function g will output 0. However, if either or both of x₁ or x₂ are equal to 1, then the sum of all inputs will be either 0 or 1. Both are at or above the threshold, so the function will output 1.  ii. Neural Network of And Function A similar process can be repeated with the And function (where the bias will be (-2)). Moreover, inputs and outputs don’t have to be distinct. A similar process can be used to take humidity and air pressure as input, and produce the probability of rain as output. Or, in a different example, inputs can be money spent on advertising and the month when it was spent to get the output of expected revenue from sales. This can be extended to any number of inputs by multiplying each input x₁ … xₙ by weight w₁ … wₙ, summing up the resulting values and adding a bias w₀.  4",900,recursive
49d9b42c-ba87-4fdd-ab46-7ef7b3adc3bc,Neural_Networks.pdf,CSCI_80,3,". This can be extended to any number of inputs by multiplying each input x₁ … xₙ by weight w₁ … wₙ, summing up the resulting values and adding a bias w₀.  4. Gradient Descent Gradient descent is an algorithm for minimizing loss when training neural networks. As was mentioned earlier, a neural network is capable of inferring knowledge about the structure of the network itself from the data. Whereas, so far, we defined the different weights, neural networks allow us to compute these weights based on the training data. To do this, we use the gradient descent algorithm, which works the following way:  - Start with a random choice of weights. This is our naive starting place, where we don’t know how much we should weight each input.  - Repeat: • Calculate the gradient based on all data points that will lead to decreasing loss. Ultimately, the gradient is a vector (a sequence of numbers). • Update weights according to the gradient",938,recursive
ca4f1482-2e8d-4cc5-abfa-1093f190c981,Neural_Networks.pdf,CSCI_80,3,". Ultimately, the gradient is a vector (a sequence of numbers). • Update weights according to the gradient.  The problem with this kind of algorithm is that it requires to calculate the gradient based on all data points, which is computationally costly. There are multiple ways to minimize this cost.   i. Stochastic Gradient Descent the gradient is calculated based on one point chosen at random. This kind of gradient can be quite inaccurate, but it is much faster since it is calculated based on just one data point.  ii. Mini-Batch Gradient Descent algorithm which computes the gradient based on a few points/one small batch selected at random, thus finding a compromise between computation cost and accuracy. As often is the case, none of these solutions is perfect, and different solutions might be employed in different situations.  Using gradient descent, it is possible to find answers to many problems",911,recursive
6eec38d2-d0a0-4af3-9719-e766ed607500,Neural_Networks.pdf,CSCI_80,3,". As often is the case, none of these solutions is perfect, and different solutions might be employed in different situations.  Using gradient descent, it is possible to find answers to many problems. For example, we might want to know more than “will it rain today?” We can use some inputs to generate probabilities for different kinds of weather, and then just choose the weather that is most probable.  This can be done with any number of inputs and outputs, where each input is connected to each output and where the outputs represent decisions that we can make. Note that in this kind of",592,recursive
66ede3ab-9721-4c18-b889-b9074be7f783,Neural_Networks.pdf,CSCI_80,4,"neural networks the outputs are not connected. This means that each output and its associated weights from all the inputs can be seen as an individual neural network and thus can be trained separately from the rest of the outputs.  
  The general formula is: (num input units + 1) x (num output units) Where the + 1 accounts for the biases. This gives us the total number of learnable parameters for a simple, fully connected network.  So far, our neural networks relied on perceptron output units. These are units that are only capable of learning a linear decision boundary, using a straight line to separate data. That is, based on a linear equation, the perceptron could classify an input to be one type or another (e.g. left picture). However, often, data are not linearly separable (e.g. right picture). In this case, we turn to multilayer neural networks to model data non-linearly.",889,recursive
